state,postcode,individuals_2003-04,median_taxable_income_2003-04,average_taxable_income_2003-04,individuals_2013-14,median_taxable_income_2013-14,average_taxable_income_2013-14,individuals_2014-15,median_taxable_income_2014-15,average_taxable_income_2014-15,individuals_2015-16,median_taxable_income_2015-16,average_taxable_income_2015-16,individuals_2016-17,median_taxable_income_2016-17,average_taxable_income_2016-17,individuals_2017-18,median_taxable_income_2017-18,average_taxable_income_2017-18,individuals_2018-19,median_taxable_income_2018-19,average_taxable_income_2018-19,individuals_2019-20,median_taxable_income_2019-20,average_taxable_income_2019-20
NSW,2762,2325,31378,34421,2163,45610,52231,2412,48029,55770,2993,51799,57905,4401,53430,59466,6338,55765,62419,8659,57822,64983,10682,61405,69199
NSW,2763,16054,34103,36104,17256,48427,53549,17714,48768,54253,18004,49986,56164,18265,50810,56936,18664,51737,58242,19108,53186,59694,19474,53935,61142
NSW,2765,8332,29346,35000,8019,42809,53220,8247,44398,54652,8825,46824,59455,9897,48361,59890,12092,52163,63913,15911,56299,65061,21171,58383,67531
NSW,2766,6701,31918,33066,7694,44216,48301,7964,44517,48943,8328,46314,50585,8747,47135,51372,9024,48197,52665,9239,49698,53998,9333,50076,54825
NSW,2767,9645,31470,32957,11093,45139,49641,11763,45770,50192,12350,46951,51620,12937,47249,51814,13395,47669,52858,13602,49360,54452,13672,50161,55438
NSW,2768,10672,36327,39277,15229,51037,58986,15377,51291,59747,15783,52253,61593,16171,52546,62160,16275,54112,64254,16648,55642,66259,16759,58249,68818
NSW,2769,,,,,,,5921,59211,66308,6574,59602,69577,7105,60293,68712,7741,61419,70754,8335,62455,72654,8899,67006,76764
NSW,2770,25767,28160,29425,25006,40121,43351,25651,40922,44219,26194,42020,45640,27183,42283,46062,28026,43827,47313,28685,45172,48276,28800,45634,48915
NSW,2773,3966,34648,41721,3775,48420,64083,3742,49316,65076,3757,51503,68422,3853,51828,69854,3874,54402,72938,3819,57407,74729,3858,58462,78344
NSW,2774,8251,33611,38880,7715,47120,57390,7714,47699,58905,7807,49222,59983,7837,49621,60752,7950,52206,63526,7909,54357,65047,7903,55744,66526
NSW,2775,744,27974,30020,724,36840,47559,760,38323,51633,798,39591,54498,843,41035,55480,883,41676,56625,866,41186,55182,849,43931,54615
NSW,2776,2552,33584,39124,2443,46404,55570,2423,47229,56147,2482,48647,58728,2535,49969,60249,2526,51530,61662,2503,53610,64118,2487,54776,64569
NSW,2777,11151,32725,39042,10325,44961,55191,10518,45990,56627,10537,47053,57666,10729,47819,59210,10801,49325,60591,10771,50947,62181,10763,53488,64643
NSW,2778,1494,33796,37655,1422,43917,53752,1425,45799,55351,1480,46512,57472,1510,44963,57347,1536,47618,58215,1533,47606,59304,1515,50367,61023
NSW,2779,2660,30852,33916,2637,42814,50238,2769,43382,51507,2780,44402,52382,2855,45115,53537,2860,46557,55096,2851,48331,56214,2866,50760,59083
NSW,2780,7206,24847,31232,6960,35682,49579,7157,36251,47036,7328,36605,48505,7513,37104,48973,7719,37926,50825,7597,39225,52451,7679,40699,54697
NSW,2782,3512,27483,35312,3264,39154,50970,3326,39988,52985,3402,40761,56560,3471,41507,56138,3504,42948,57727,3587,43345,59466,3620,43652,61511
NSW,2783,1476,27950,32028,1472,40430,48391,1496,40461,48051,1527,42264,49702,1592,42357,50943,1587,44734,53402,1595,45568,53056,1614,46872,55801
NSW,2784,646,31343,35282,691,43070,51664,698,42016,51372,719,42791,52477,742,42107,52575,744,43729,52921,742,45562,54674,767,44906,57485
NSW,2785,2613,25669,31132,2563,36477,47445,2591,36525,47593,2639,37829,49940,2645,38198,52128,2679,38477,51483,2724,40179,52876,2758,42174,55420
NSW,2786,658,22430,29746,617,36516,49309,646,36967,49875,650,36277,46873,660,39510,48475,693,39428,49278,690,40664,52966,711,39266,53119
NSW,2787,2521,28116,31715,2333,39711,45008,2349,41951,47897,2382,43386,49686,2394,42256,48246,2427,44147,50338,2457,46682,51055,2535,45707,51596
NSW,2790,7663,27434,34008,7363,40538,54034,7240,41815,53843,7299,41773,53368,7357,42751,54202,7493,43803,55762,7589,45548,56901,7654,45778,58061
NSW,2792,,,,,,,203,38639,54040,,,,,,,211,33974,48182,218,37173,42951,225,39297,51863
NSW,2793,496,21129,25856,466,30608,44712,439,33876,50091,454,35066,49199,486,34964,50992,484,33289,48368,498,34921,50396,487,34633,50119
NSW,2794,5950,24142,27227,5424,34557,41154,5397,35985,42461,5475,36738,43087,5524,37541,43556,5511,38839,45286,5593,40145,46318,5634,40864,48136
NSW,2795,20768,29156,33690,21717,41914,51036,21916,43048,52396,22232,43918,53635,22728,44626,53915,23409,45873,55398,23944,47994,56889,24507,49469,57919
NSW,2797,269,19641,25914,219,31370,38717,213,36202,41250,234,34715,38844,237,36276,43682,237,39685,45128,241,42752,43508,238,45828,46505
NSW,2798,1041,29978,34033,1201,40916,55038,1213,43927,60440,1203,44011,61258,1262,45738,62522,1278,47018,65116,1301,47153,63597,1318,47339,66043
NSW,2799,2024,26234,29971,2080,39713,47016,2090,40265,47633,2123,41301,48756,2176,42322,49969,2255,44012,50645,2276,44485,51975,2278,46389,53177
NSW,2800,22706,29420,34161,23667,43047,53928,24060,43634,55016,24534,44454,56388,24972,44959,57449,25735,46850,59782,26290,48889,60380,26869,50457,62513
NSW,2804,1493,21652,22903,1343,33414,37897,1339,36212,43041,1333,37000,44926,1387,36171,44800,1400,37688,44191,1435,38221,44774,1469,36426,42868
NSW,2805,243,18636,19442,211,36276,39282,217,36434,39205,210,38013,49298,224,38478,55793,227,36724,42488,241,34558,39910,248,34519,42196
NSW,2806,485,20530,24119,465,35856,42932,461,37627,45718,464,38528,48283,470,40264,46025,480,42349,47758,448,39949,45005,479,41434,44026
NSW,2810,1763,20127,21613,1628,35118,43056,1634,35071,42885,1636,37598,47597,1660,36997,43445,1629,39332,47750,1660,37180,43611,1622,35010,37670
NSW,2818,,,,,,,357,38339,43190,359,44499,49713,407,45086,48372,435,45669,49919,450,45642,47988,445,44138,44252
NSW,2820,3389,21412,25520,3061,35189,42111,3058,36522,43829,3067,37277,44413,3087,38399,45276,3140,38942,44706,3140,38361,44052,3221,39139,43340
NSW,2821,2824,23979,26619,2521,36468,43100,2534,37657,44359,2521,39166,45737,2530,40232,46442,2566,41021,47683,2591,41252,45997,2578,41019,44579
NSW,2823,862,25848,28566,751,35544,43331,781,37609,45097,777,37821,45189,762,41868,50715,777,40823,49652,759,38020,41561,743,40054,37725
NSW,2824,1536,24351,26949,1303,39639,46378,1224,40911,50675,1221,43222,53177,1231,42215,50077,1217,42209,51005,1194,39606,46340,1140,40378,43381
NSW,2825,1369,23018,26263,1334,40075,50133,1356,44860,55670,1341,44812,54221,1355,43152,59587,1378,43651,52386,1363,43757,51960,1288,43609,46407
NSW,2827,1953,22267,26032,1824,34619,39295,1876,35892,42831,1853,37257,44187,1848,39385,44361,1821,38259,42814,1837,35983,41818,1822,35972,37655
NSW,2828,470,20908,26990,368,29549,40359,369,31052,39760,372,32586,45202,362,37011,44336,361,37451,42106,374,26329,27696,363,29303,30572
NSW,2829,1847,22269,24362,1515,34233,36949,1453,38279,42864,1455,40427,44607,1466,43168,52979,1480,40526,45218,1485,38016,35302,1496,39619,53416
NSW,2830,21387,28664,31972,22268,41831,49140,22357,42720,50402,22813,43663,51469,23333,44697,52600,24094,46486,54002,24786,48145,55081,25232,49674,56437
NSW,2831,2325,21091,22510,1701,31802,36411,1593,35877,41851,1490,37066,42234,1402,38736,45988,1346,38524,43579,1305,33159,34374,1291,33950,27633
NSW,2832,1528,20726,18139,1198,35665,33487,1218,33998,31898,1228,34966,28470,1222,37926,46448,1173,39725,40825,1115,37793,31259,1124,39638,25787
NSW,2833,370,19911,20081,260,38007,34766,244,32853,35613,238,35809,34845,249,38166,45960,249,38266,41841,244,36253,38204,253,40101,40531
NSW,2834,1115,17271,21728,862,31946,36182,863,29383,34765,842,32297,36621,890,32786,39333,907,32140,39342,911,31543,40038,873,34505,40316
NSW,2835,2477,29844,35948,2265,50644,66324,2258,53841,68156,2209,52853,65033,2259,53785,67871,2229,54465,67304,2147,54626,65554,2095,55682,66460
NSW,2836,382,20696,25235,313,37334,44939,297,41290,49299,303,41417,51549,313,41811,53840,315,40721,50120,298,35380,40300,311,43229,50521
NSW,2839,640,23929,26709,473,38511,39119,462,38263,41887,459,41257,46058,467,42478,48796,504,42505,44686,501,43427,45041,489,45274,44356
NSW,2840,1734,24017,25125,1433,39787,42677,1348,42653,47819,1313,44983,48712,1308,46070,53334,1328,45742,50848,1329,45498,48154,1326,48141,54307
NSW,2842,368,18077,20699,282,22867,28317,281,28361,36071,291,29553,32354,270,31102,36283,271,31503,35391,271,30580,33147,286,26013,34403
NSW,2843,685,21686,25197,679,30084,35469,690,34080,40558,692,30836,39466,711,31605,39076,696,31774,44216,664,31571,35035,678,33299,38287
NSW,2844,748,22708,25611,661,30689,37487,693,34510,43349,628,37046,47557,647,37646,47958,679,38435,47061,665,37338,46714,676,35236,39881
NSW,2845,976,29247,36242,982,43656,55580,999,42800,54312,1019,42584,53335,1018,44178,54601,1043,46919,56518,1042,49548,59525,1065,49448,60337
NSW,2847,1082,27751,34341,1022,40557,55494,1055,41602,53103,1070,41094,51164,1095,39830,50981,1105,41015,52135,1127,43651,54330,1149,44139,55207
