year,postcode,total_population,median_total_personal_income_weekly,median_total_family_income_weekly,labor_force
2011,2439,2450,395,968,887
2011,2440,21372,387,913,8213
2011,2441,6301,411,1026,2075
2011,2443,8848,379,823,4458
2011,2444,42617,470,1067,15788
2011,2445,5876,469,1101,1992
2011,2446,12526,432,1013,4002
2011,2447,6814,383,887,2605
2011,2448,8700,378,852,4012
2011,2449,2322,361,767,940
2011,2450,38299,481,1137,11970
2011,2452,15010,457,1055,4963
2011,2453,2705,379,873,969
2011,2454,7351,441,975,2410
2011,2455,3020,392,885,1354
2011,2456,13579,446,1001,4624
2011,2460,28591,411,972,10179
2011,2462,2509,375,829,971
2011,2463,7147,402,936,2827
2011,2464,6681,398,867,3045
2011,2465,356,370,1012,121
2011,2466,1702,353,742,947
2011,2469,4246,341,770,1782
2011,2470,14548,416,972,4931
2011,2471,2577,432,1039,797
2011,2472,1730,419,937,571
2011,2473,2969,390,866,1287
2011,2474,6386,386,909,2242
2011,2475,447,340,936,157
2011,2476,1017,362,861,368
2011,2477,11245,488,1166,3716
2011,2478,26769,497,1146,9017
2011,2479,4538,521,1237,1228
2011,2480,44395,468,1120,13213
2011,2481,10699,504,1157,2971
2011,2482,5748,419,925,1805
2011,2483,10030,460,993,3081
2011,2484,18049,426,1001,5989
2011,2485,13349,420,929,5703
2011,2486,30593,435,1065,11283
2011,2487,11194,494,1174,3624
2011,2488,3099,505,1126,817
2011,2489,6319,461,1144,2109
2011,2490,690,530,1238,173
2011,2500,37082,480,1411,12166
2011,2502,11706,359,921,4726
2011,2505,4915,387,994,1901
2011,2506,7430,386,1113,2625
2011,2508,8652,700,2039,1732
2011,2515,10387,694,2029,2481
2011,2516,5671,600,1809,1393
2011,2517,12956,537,1588,3949
2011,2518,18612,465,1319,6257
2011,2519,16239,469,1437,5436
2011,2525,10630,570,1726,3027
2011,2526,15830,522,1609,4549
2011,2527,20614,525,1466,5243
2011,2528,23284,391,1022,8798
2011,2529,22307,537,1554,5820
2011,2530,29720,489,1343,8871
2011,2533,14937,574,1540,4712
2011,2534,4989,538,1483,1556
2011,2535,6998,486,1168,2808
2011,2536,17467,432,935,6912
2011,2537,10909,435,975,4372
2011,2538,2261,437,1014,790
2011,2539,16526,395,881,6838
2011,2540,41739,428,994,15868
2011,2541,24142,426,1022,8472
2011,2545,1068,429,965,363
2011,2546,8792,389,890,3987
2011,2548,6873,485,993,2818
2011,2549,3630,463,1086,1175
2011,2550,15693,458,1055,4859
2011,2551,3452,414,966,1269
2011,2555,455,413,1151,130
2011,2556,2387,603,1602,540
2011,2557,4002,493,1396,1013
2011,2558,11123,629,1603,2282
2011,2559,3803,337,698,1161
